municipality,province,year,Contributi pubblici,Entrate extratributarie,Entrate per conto terzi,Imposte e tasse,Prestiti,TOTALE ENTRATE,Trasferimenti di capitale
PORTO AZZURRO,LI,2014,235003,1129756,512533,3631781,2334471,8711391,867849
VARALLO POMBIA,NO,2014,383556,1056783,301323,2504910,913704,5286610,126334
CASALDUNI,BN,2014,200992,234231,138497,711312,701936,2762495,775530
SAN GIOVANNI IN FIORE,CS,2014,4264814,2265691,1271521,7214205,6146712,22902397,1739454
BAGHERIA,PA,2014,NA,NA,NA,NA,NA,NA,NA
PALAGONIA,CT,2014,2315003,1303949,7474554,4764139,1415395,17751234,478194
RAVISCANINA,CE,2014,69816,81085,103017,578049,1028687,1869586,8932
PIANA DI MONTE VERNA,CE,2014,296932,161038,204247,1206511,322588,2637346,446028
ROCCABASCERANA,AV,2014,950819,173729,138486,638176,523961,2684644,259474
SQUILLACE,CZ,2014,422116,406124,228099,2110441,240840,4678892,1271273
FEROLETO DELLA CHIESA,RC,2014,129172,181559,154098,798108,999184,2535337,273216
CERISANO,CS,2014,290829,275812,226760,1597768,2864301,5459573,204103
SAN MARCELLINO,CE,2014,203584,360541,536777,3482835,1964093,7030298,482468
VIAREGGIO,LU,2014,14450636,14437433,7205822,56820808,112367098,213254335,7972540
ARI,CH,2014,383222,111100,82006,321389,646595,1553597,9283
CASARANO,LE,2014,2806231,1022457,1581191,8254312,5302252,20413813,1447370
POTENZA,PZ,2014,13785278,6764884,8354387,49018647,119521159,204929598,7485244
SCORDIA,CT,2014,2385191,1416677,1743700,6125231,7650175,21074045,1753071
CHIARAVALLE CENTRALE,CZ,2014,434885,345728,488974,2257171,2813231,6652708,312718
SAN NICOLA LA STRADA,CE,2014,1307211,1519359,1199349,7055911,16170101,28414865,1162934
LACCO AMENO,NA,2015,NA,NA,NA,NA,NA,NA,NA
LENTINI,SR,2015,NA,NA,NA,NA,NA,NA,NA
GRIMALDI,CS,2015,385419,67080,124799,727854,1110192,2602586,187244
BROLO,ME,2015,NA,NA,NA,NA,NA,NA,NA
CEFALU',PA,2015,NA,NA,NA,NA,NA,NA,NA
ORTA DI ATELLA,CE,2015,679226,534520,940079,5646948,7119184,15203331,283375
SCALETTA ZANCLEA,ME,2015,1454936,368415,553617,513783,5620791,8835974,324432
MIRABELLA IMBACCARI,CT,2015,NA,NA,NA,NA,NA,NA,NA
RODI GARGANICO,FG,2015,229397,240534,927287,3926378,4023976,9644491,296917
SAN MARCO IN LAMIS,FG,2015,1933356,513088,642088,5871530,7284084,17297136,1052988
AUGUSTA,SR,2015,6802807,3721954,2355267,28021287,213359,42696643,1581970
CANCELLO ED ARNONE,CE,2015,NA,NA,NA,NA,NA,NA,NA
CIVITELLA MESSER RAIMONDO,CH,2015,229843,167648,72206,371322,332722,1457384,283644
QUINDICI,AV,2015,80363,163727,611890,924615,31102,1920122,108426
ROCCA DI NETO,KR,2015,213447,112089,442097,1544690,1955636,4922765,654806
CUTRO,KR,2015,369235,1982366,1027732,4815243,217335,9314364,902453
CERRETO SANNITA,BN,2015,1384418,664312,504776,2001942,1848980,7556704,1152275
CIVITALUPARELLA,CH,2015,36436,90749,41353,292682,259594,806780,85967
BARRAFRANCA,EN,2016,NA,NA,NA,NA,NA,NA,NA
OFFAGNA,AN,2016,NA,NA,NA,NA,NA,NA,NA
CARINI,PA,2016,NA,NA,NA,NA,NA,NA,NA
NOCERA TERINESE,CZ,2016,NA,NA,NA,NA,NA,NA,NA
CALVI,BN,2016,NA,NA,NA,NA,NA,NA,NA
VILLA LITERNO,CE,2016,NA,NA,NA,NA,NA,NA,NA
BOTRICELLO,CZ,2016,NA,NA,NA,NA,NA,NA,NA
CASTELTERMINI,AG,2016,NA,NA,NA,NA,NA,NA,NA
CAIVANO,NA,2016,NA,NA,NA,NA,NA,NA,NA
BELCASTRO,CZ,2016,NA,NA,NA,NA,NA,NA,NA
MUSSOMELI,CL,2016,NA,NA,NA,NA,NA,NA,NA
VILLA DI BRIANO,CE,2016,NA,NA,NA,NA,NA,NA,NA
PRATA DI PRINCIPATO ULTRA,AV,2016,NA,NA,NA,NA,NA,NA,NA
ACATE,RG,2016,NA,NA,NA,NA,NA,NA,NA
MONTECORVINO PUGLIANO,SA,2016,NA,NA,NA,NA,NA,NA,NA
CIRO' MARINA,KR,2016,NA,NA,NA,NA,NA,NA,NA
LAGONEGRO,PZ,2016,NA,NA,NA,NA,NA,NA,NA
CARIATI,CS,2016,NA,NA,NA,NA,NA,NA,NA
CALVI RISORTA,CE,2016,NA,NA,NA,NA,NA,NA,NA
TORTORICI,ME,2016,NA,NA,NA,NA,NA,NA,NA
PORTO EMPEDOCLE,AG,2016,NA,NA,NA,NA,NA,NA,NA
BAGNARA CALABRA,RC,2016,NA,NA,NA,NA,NA,NA,NA
MILAZZO,ME,2016,NA,NA,NA,NA,NA,NA,NA
SAN LUCIDO,CS,2016,NA,NA,NA,NA,NA,NA,NA
FAVARA,AG,2016,NA,NA,NA,NA,NA,NA,NA
SAN FELICE A CANCELLO,CE,2016,NA,NA,NA,NA,NA,NA,NA
SAN PAOLO DI CIVITATE,FG,2016,NA,NA,NA,NA,NA,NA,NA
MELISSANO,LE,2016,NA,NA,NA,NA,NA,NA,NA
SAN LORENZO,RC,2016,NA,NA,NA,NA,NA,NA,NA
ACRI,CS,2016,NA,NA,NA,NA,NA,NA,NA
